final_id,text,logprobs_forward,logprobs_backward,step
0,C1CN(N2(C(=O)O)CCNCC2)(c2(N3(c4(-c5(N6(C7CCOCC7)CCNCC6)cc[nH]c5)cc[nH]c4)CCNCC3)ccc[nH+]c2)CCN1,-5.74,-2.4859999999999998,10
0,C1CN(N2(C(=O)O)CCNCC2)(c2(N3(c4(-c5(N6CCNCC6)cc[nH]c5)cc[nH]c4)CCNCC3)ccc[nH+]c2)CCN1,-2.861,-0.6934,8
0,C1CN(N2(C(=O)O)CCNCC2)(c2(N3(c4(-c5cc[nH]c5)cc[nH]c4)CCNCC3)ccc[nH+]c2)CCN1,-2.033,-0.6934,7
0,C1CN(N2(C(=O)O)CCNCC2)(c2(N3(c4cc[nH]c4)CCNCC3)ccc[nH+]c2)CCN1,-1.936,-0.6934,6
0,C1CN(N2(C(=O)O)CCNCC2)(c2(N3CCNCC3)ccc[nH+]c2)CCN1,-2.639,-0.6934,5
0,C1CN(N2(C(=O)O)CCNCC2)(c2ccc[n+](N3(c4(-c5(N6(C7CCOCC7)CCNCC6)cc[nH]c5)cc[nH]c4)CCNCC3)c2)CCN1,-8.175,-5.3469999999999995,13
0,C1CN(N2(C(=O)O)CCNCC2)(c2ccc[nH+]c2)CCN1,-5.824,-0.6934,4
0,C1CN(N2CCNCC2)(c2ccc[nH+]c2)CCN1,-4.96,-0.6934,3
0,C1CN(N2CCNCC2)CCN1,-2.504,-0.6934,2
0,C1CN(c2ccc[n+](N3(c4(-c5(N6(C7CCOCC7)CCNCC6)cc[nH]c5)cc[nH]c4)CCNCC3)c2)CCN1N1(C(=O)O)CCNCC1,-4.93,-4.277,15
0,C1CN(c2ccc[n+](N3CCN(c4(-c5(N6(C7CCOCC7)CCNCC6)cc[nH]c5)cc[nH]c4)CC3)c2)CCN1N1(C(=O)O)CCNCC1,-6.536,-6.898,18
0,C1CN(c2ccc[n+](N3CCN(c4(-c5(N6CCN(C7CCOCC7)CC6)cc[nH]c5)cc[nH]c4)CC3)c2)CCN1N1(C(=O)O)CCNCC1,-3.512,-4.968,20
0,C1CN(c2ccc[n+](N3CCN(c4(-c5(N6CCN(C7CCOCC7)CC6)cc[nH]c5)cc[nH]c4)CC3)c2)CCN1N1CCN(C(=O)O)CC1,-1.378,-2.564,21
0,C1CN(c2ccc[n+](N3CCN(c4(-c5cc(N6CCN(C7CCOCC7)CC6)[nH]c5)cc[nH]c4)CC3)c2)CCN1N1CCN(C(=O)O)CC1,-1.9173,-5.348,23
0,C1CN(c2ccc[n+](N3CCN(c4cc(-c5cc(N6CCN(C7CCOCC7)CC6)[nH]c5)[nH]c4)CC3)c2)CCN1N1CCN(C(=O)O)CC1,-0.0254,-2.773,25
0,C1CNCCN1,-2.51,-0.6934,1
1,c1(-c2(C3(C(=O)NO)(C=N)CCNCC3)cc[nH]c2)(C2(c3(C4(C5CCNCC5)CCOCC4)cc[nH]c3)=CCCCC2)cc[nH]c1,-7.893,-2.4859999999999998,10
1,c1(-c2(C3(C(=O)NO)(C=N)CCNCC3)cc[nH]c2)(C2(c3(C4CCOCC4)cc[nH]c3)=CCCCC2)cc[nH]c1,-3.193,-1.099,8
1,c1(-c2(C3(C(=O)NO)(C=N)CCNCC3)cc[nH]c2)(C2(c3cc[nH]c3)=CCCCC2)cc[nH]c1,-2.094,-1.099,7
1,c1(-c2(C3(C(=O)NO)(C=N)CCNCC3)cc[nH]c2)(C2=CCCCC2)cc[nH]c1,-7.758,-1.099,6
1,c1(-c2(C3(C(=O)NO)(C=N)CCNCC3)cc[nH]c2)cc(C2(c3(C4(C5CCNCC5)CCOCC4)cc[nH]c3)=CCCCC2)[nH]c1,-2.71,-1.609,11
1,c1(-c2(C3(C(=O)NO)(C=N)CCNCC3)cc[nH]c2)cc(C2(c3cc(C4(C5CCNCC5)CCOCC4)[nH]c3)=CCCCC2)[nH]c1,-5.343999999999999,-3.584,13
1,c1(-c2(C3(C(=O)NO)CCNCC3)cc[nH]c2)(C2=CCCCC2)cc[nH]c1,-6.027,-1.099,5
1,c1(-c2(C3(C(=O)NO)CCNCC3)cc[nH]c2)c[nH]cc1,-5.707,-0.6934,4
1,c1(-c2(C3(C=N)C(C(=O)NO)CNCC3)cc[nH]c2)c[nH]c(C2=CC(c3cc(C4CCOCC4C4CCNCC4)[nH]c3)CCC2)c1,-7.066000000000001,-4.7010000000000005,19
1,c1(-c2(C3(C=N)C(C(=O)NO)CNCC3)cc[nH]c2)c[nH]c(C2C(c3cc(C4CCOCC4C4CCNCC4)[nH]c3)C=CCC2)c1,-4.842499999999999,-7.686999999999999,22
1,c1(-c2(C3(C=N)C(C(=O)NO)CNCC3)cc[nH]c2)cc(C2(c3cc(C4(C5CCNCC5)CCOCC4)[nH]c3)=CCCCC2)[nH]c1,-7.064,-5.9719999999999995,16
1,c1(-c2(C3(C=N)C(C(=O)NO)CNCC3)cc[nH]c2)cc(C2(c3cc(C4CCOCC4C4CCNCC4)[nH]c3)=CCCCC2)[nH]c1,-5.36,-2.197,17
1,c1(-c2(C3CCNCC3)cc[nH]c2)c[nH]cc1,-4.617,-0.6934,3
1,c1(-c2cc(C3(C=N)C(C(=O)NO)CNCC3)c[nH]2)cc(C2C(c3cc(C4CCOCC4C4CCNCC4)[nH]c3)C=CCC2)[nH]c1,-2.83,-5.482,24
1,c1(-c2cc(C3C(C(=O)NO)CN(C=N)CC3)c[nH]2)cc(C2C(c3cc(C4CCOCC4C4CCNCC4)[nH]c3)C=CCC2)[nH]c1,0.0,0.0,25
1,c1(-c2cc[nH]c2)cc[nH]c1,-1.486,-0.6934,2
1,c1cc[nH]c1,-1.477,-0.6934,1
2,c1(-c2ccc[nH+]c2)(F)ccc2ccccc2c1,-5.25,-0.6934,3
2,c1(-c2ccc[nH+]c2)ccc2ccccc2c1,-4.31,-0.6934,2
2,c1(F)cc(-c2(-c3(N4(c5(C6(C(C)(C)O)(C)CCCCC6)cc[nH]c5)CCNCC4)c(=O)[nH]c(=O)[nH]c3)ccc[nH+]c2)c2ccccc2c1,-6.67,-1.792,12
2,c1(F)cc(-c2(-c3(N4(c5(C6(C(C)(C)O)C(C)CCCC6)cc[nH]c5)CCNCC4)c(=O)[nH]c(=O)[nH]c3)ccc[nH+]c2)c2ccccc2c1,-2.523,-1.946,13
2,c1(F)cc(-c2(-c3(N4(c5(C6(C(C)(C)O)CCCCC6)cc[nH]c5)CCNCC4)c(=O)[nH]c(=O)[nH]c3)ccc[nH+]c2)c2ccccc2c1,-9.41,-3.401,11
2,c1(F)cc(-c2(-c3(N4(c5(C6CCCCC6)cc[nH]c5)CCNCC4)c(=O)[nH]c(=O)[nH]c3)ccc[nH+]c2)c2ccccc2c1,-2.465,-1.387,9
2,c1(F)cc(-c2(-c3(N4(c5cc[nH]c5)CCNCC4)c(=O)[nH]c(=O)[nH]c3)ccc[nH+]c2)c2ccccc2c1,-1.809,-1.387,8
2,c1(F)cc(-c2(-c3(N4CCN(c5(C6(C(C)(C)O)C(C)CCCC6)cc[nH]c5)CC4)c(=O)[nH]c(=O)[nH]c3)ccc[nH+]c2)c2ccccc2c1,-9.0,-8.777000000000001,17
2,c1(F)cc(-c2(-c3(N4CCNCC4)c(=O)[nH]c(=O)[nH]c3)ccc[nH+]c2)c2ccccc2c1,-2.523,-1.387,7
2,c1(F)cc(-c2(-c3c(=O)[nH]c(=O)[nH]c3)ccc[nH+]c2)c2ccccc2c1,-9.42,-2.4859999999999998,6
2,c1(F)cc(-c2ccc[n+](-c3(N4CCN(c5(C6(C(C)(C)O)C(C)CCCC6)cc[nH]c5)CC4)c(=O)[nH]c(=O)[nH]c3)c2)c2ccccc2c1,-5.252,-7.446,20
2,c1(F)cc(-c2ccc[n+](-c3c(=O)[nH]c(=O)n(N4CCN(c5cc(C6(C(C)(C)O)C(C)CCCC6)[nH]c5)CC4)c3)c2)c2ccccc2c1,-0.2422,-2.709,23
